id,name,slot,tier,itemlevel,armor_type,classes,weapon_min_dmg,weapon_max_dmg,delay,damage_rating,skill,wieldstyle,gamelink,adorning,aeautoattackchance,agility,all,arcane,armormitigationincrease,attackspeed,basemodifier,blockchance,combatskills,craftingskills,critbonus,critchance,doubleattackchance,dps,flurry,harvestingskills,maxhpperc,spelltimecastpct,spelltimereusepct,stamina,strength,strikethrough,tinkering,wisdom
1312270903,Enlightened Gloves,Hands,TREASURED,10,Leather,bruiser|monk,0,0,0,0,,,\aITEM 1312270903 196388347:Enlightened Gloves\/a,,,,,,,,,,,,,,,,,,,,,5,5,,,
2598737075,Dragons of Rime Cuirass,Chest,FABLED,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -1696230221 -1754350309:Dragons of Rime Cuirass\/a,,,,,,,,,,,,,,,,,,,,,,,,,
517011983,Dragons of Rime Pauldrons,Shoulders,FABLED,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM 517011983 -1075145889:Dragons of Rime Pauldrons\/a,,,,,,,,,,,,,,,,,,,,,,,,,
4215665463,Dragons of Rime Boots,Feet,FABLED,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -79301833 -1581623563:Dragons of Rime Boots\/a,,,,,,,,,,,,,,,,,,,,,,,,,
126817532,Dragons of Rime Gloves,Hands,FABLED,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM 126817532 202053273:Dragons of Rime Gloves\/a,,,,,,,,,,,,,,,,,,,,,,,,,
3233646822,Manatroth Legguards,Legs,TREASURED,30,Plate,inquisitor|templar,0,0,0,0,,,\aITEM -1061320474 135024725:Manatroth Legguards\/a,,,,,,,,,,4,,,,,,,,,,,11,11,,,
646971298,Robe of Faydwer Achievements,Chest,,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM 646971298 1108660375:Robe of Faydwer Achievements\/a,,,,,,,,,,,,,,,,,,,,,,,,,
1408949997,Gallant Myrmidon's Helmet of the Weaponmaster,Head,LEGENDARY,50,Plate,berserker|guardian|inquisitor|paladin|shadowknight|templar,0,0,0,0,,,\aITEM 1408949997 1897863540:Gallant Myrmidon's Helmet of the Weaponmaster\/a,,,,,,1.2,,1,,10,,0.2,0.7,,,,,,,,25,25,,,
1827353,Large Raw-hide Shoulderpads,Shoulders,TREASURED,70,Leather,assassin|beastlord|berserker|brigand|bruiser|channeler|defiler|dirge|fury|guardian|inquisitor|monk|mystic|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden,0,0,0,0,,,\aITEM 1827353 187785592:Large Raw-hide Shoulderpads\/a,,,,62,,,,2.6,,15,,0.5,1.8,4.8,,,,,,,39,39,,,
2792486025,Partisan's Hammered Sabatons,Feet,TREASURED,20,Plate,berserker|guardian|inquisitor|paladin|shadowknight|templar,0,0,0,0,,,\aITEM -1502481271 -852647395:Partisan's Hammered Sabatons\/a,,,,,,,,,,3,,,,,,,,,,,7,7,,,
21448726,Phantasmic Muffler,Hands,LEGENDARY,40,Chain,dirge|mystic|ranger|swashbuckler|troubador,0,0,0,0,,,\aITEM 21448726 1766006182:Phantasmic Muffler\/a,,,,7,,,,0.2,,6,,,,,,,,,,,14,14,,,
1620832424,Najena's Voidcaller Wristcuffs,Forearms,LEGENDARY,70,Cloth,conjuror|necromancer,0,0,0,0,,,\aITEM 1620832424 1380050699 0 0 0:Najena's Voidcaller Wristcuffs\/a,,,,,,,,2.7,,15,,0.6,1.9,,,,,,1.7,2,40,40,,,
1323056766,Skirmisher's Pauldrons of the Ardent,Shoulders,TREASURED,40,Plate,berserker|guardian|inquisitor|paladin|shadowknight|templar,0,0,0,0,,,\aITEM 1323056766 -2067800717:Skirmisher's Pauldrons of the Ardent\/a,,,,,,,,0.5,,8,,,0.2,,,,,,,,19,19,,,
1215466944,Reinforced Heavy Dwarven Work Boots,Feet,FABLED,70,Plate,berserker|guardian|inquisitor|paladin|shadowknight|templar,0,0,0,0,,,\aITEM 1215466944 387072811:Reinforced Heavy Dwarven Work Boots\/a,,,,,,,,2.6,,15,,0.5,1.8,4.8,,,15,,1.6,,39,39,,,
2508640144,Leggings of Fascination,Legs,FABLED,70,Chain,troubador,0,0,0,0,,,\aITEM -1786327152 -1143351887 0 0 0:Leggings of Fascination\/a,,,,71,,,,2.8,,16,,0.6,2,,,,,,,2.1,41,41,,,
2902205224,Sibyl's Dark Awakening Spaulders,Shoulders,FABLED,70,Chain,defiler|mystic,0,0,0,0,,,\aITEM -1392762072 2120884834:Sibyl's Dark Awakening Spaulders\/a,,,,,,,,2.8,,16,,0.6,2,,,,,,1.8,2.1,41,41,,,
37311803,Wristguards of Totemic Etchings,Forearms,FABLED,70,Chain,defiler,0,0,0,0,,,\aITEM 37311803 1121847749 0 0 0:Wristguards of Totemic Etchings\/a,,,,71,,,,2.8,,16,,0.6,2,,,,,,1.8,,41,41,,,
4221792822,Ernie's Incorporeal-Visual Activators,Head,,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -73174474 -1572205816:Ernie's Incorporeal-Visual Activators\/a,,,,,,,,,,,,,,,,,,,,,,,,,
1322807338,Hepplewhite's Insulated Chestpiece,Chest,TREASURED,40,Plate,berserker|guardian|inquisitor|paladin|shadowknight|templar,0,0,0,0,,,\aITEM 1322807338 929902631:Hepplewhite's Insulated Chestpiece\/a,,,,,,,,,,6,,,,,,,,,0.1,,15,15,,,
1771060045,Mantle of Darkened Hues,Shoulders,FABLED,70,Chain,assassin|beastlord|berserker|brigand|defiler|dirge|guardian|inquisitor|mystic|paladin|ranger|shadowknight|swashbuckler|templar|troubador,0,0,0,0,,,\aITEM 1771060045 264635454:Mantle of Darkened Hues\/a,,,,71,,,,2.8,,16,,0.6,2,,,,,,1.8,,41,41,,,
1297642490,Phantasmic Chausses,Legs,LEGENDARY,40,Chain,dirge|mystic|ranger|swashbuckler|troubador,0,0,0,0,,,\aITEM 1297642490 -901494003:Phantasmic Chausses\/a,,,,7,,,,0.2,,6,,,,,,,,,,,14,14,,,
2770024777,Clairvoyant's Copper-Threaded Epaulets of Genius,Shoulders,TREASURED,50,Cloth,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -1524942519 -1234610513:Clairvoyant's Copper-Threaded Epaulets of Genius\/a,,,,,,,,1.7,,12,,0.3,1.1,,,,,,,1.2,31,31,,,
2266330727,Frock of Flame Gloves,Hands,,1,Cloth,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -2028636569 1912410896:Frock of Flame Gloves\/a,,,,,,,,,,,,,,,,,,,,,,,,,
615140022,Sunglow Jubilation Hat,Head,TREASURED,1,Cloth,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM 615140022 478137075:Sunglow Jubilation Hat\/a,,,,,,,,,,,,,,,,,,,,,,,,,
