id,name,slot,tier,itemlevel,armor_type,classes,weapon_min_dmg,weapon_max_dmg,delay,damage_rating,skill,wieldstyle,gamelink,adorning,aeautoattackchance,agility,all,arcane,armormitigationincrease,attackspeed,basemodifier,blockchance,combatskills,craftingskills,critbonus,critchance,doubleattackchance,dps,elemental,flurry,harvestingskills,intelligence,maxhpperc,spelltimecastpct,spelltimereusepct,stamina,strength,tinkering,wisdom
558743123,Great-Cloak of the Rime Dragons,Cloak,FABLED,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM 558743123 827712477:Great-Cloak of the Rime Dragons\/a,,,,,,,,,,,,,,,,,,,,,,,,,,
2076990420,Sorcerer's Bauble,Ear,TREASURED,10,,coercer|conjuror|illusionist|necromancer|warlock|wizard,0,0,0,0,,,\aITEM 2076990420 -1060057017:Sorcerer's Bauble\/a,,,,,,,,,,1,,,,,,,,,,,,,4,4,,
2630516,Issis' Fang Earring,Ear,LEGENDARY,70,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM 2630516 -218116307:Issis' Fang Earring\/a,,,,,280,,,2.6,,15,,0.5,1.8,,,,,,,,1.6,1.9,39,39,,
56529662,Wrist guards of Devotion,Wrist,TREASURED,57,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM 56529662 649764854:Wrist guards of Devotion\/a,,,,,371,,2.4,1.7,,12,,0.3,1.1,,,,,,,,,,31,31,,
2563833336,Linked Chain Belt of the Faydark Druid,Waist,LEGENDARY,50,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -1731133960 -98792832:Linked Chain Belt of the Faydark Druid\/a,,,,23,,,,1,,10,,0.2,0.7,,,,,,,,,,26,26,,
415919349,Lady Katri's Bracelet,Wrist,TREASURED,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM 415919349 -2044422920:Lady Katri's Bracelet\/a,,,,,,,,,,,,,,,,,,,,,,,2,2,,
2388450002,lapis lazuli ring,Finger,TREASURED,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -1906517294 -1786868705:lapis lazuli ring\/a,,,,,,,,,,,,,,,,,,,,,,,1,1,,
4059337056,Embroidered Fae Linen Sash,Waist,TREASURED,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -235630240 -2024777730:Embroidered Fae Linen Sash\/a,,,,,,,,,,,,,,,,,,,,,,,2,2,,
4216162632,Bezel-set Citrine Ring,Finger,TREASURED,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -78804664 1585100755:Bezel-set Citrine Ring\/a,,,,,,,,,,,,,,,,,,,,,,,3,3,,
4162330994,Verdegreen's Earring,Ear,TREASURED,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -132636302 1828803320:Verdegreen's Earring\/a,,,,,,,,,,,,,,,,,,,,,,,2,2,,
3321018856,Favor of the Fae,Neck,TREASURED,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,,,\aITEM -973948440 772212561:Favor of the Fae\/a,,,,,,,,,,,,,,,,,,,,,,,2,2,,
