id,name,slot,tier,itemlevel,armor_type,classes,weapon_min_dmg,weapon_max_dmg,delay,damage_rating,gamelink,abilitydoubleattackchance,aeautoattackchance,agility,all,arcane,armormitigationincrease,attackspeed,basemodifier,blockchance,combatskills,critbonus,critchance,doubleattackchance,dps,elemental,fervor,flurry,hategainmod,health,intelligence,mana,maxhpperc,noxious,ripostechance,spelltimecastpct,spelltimereusepct,stamina,strength,wisdom
1684295874,King's Field Pawn,,,0,,,0,0,0,0,\aITEM 1684295874 868151569:King's Field Pawn\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105915899,basil of Growth,,,0,,,0,0,0,0,\aITEM -1189051397 -2055357313:basil of Growth\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669802397,Autumnstrider Unicorn Plushie,,TREASURED,0,,alchemist|armorer|assassin|beastlord|berserker|brigand|bruiser|carpenter|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|jeweler|monk|mystic|necromancer|paladin|provisioner|ranger|sage|shadowknight|swashbuckler|tailor|templar|troubador|warden|warlock|weaponsmith|wizard|woodworker,0,0,0,0,\aITEM 669802397 963531211:Autumnstrider Unicorn Plushie\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37308075,Lockson Family Treasure,,,0,,,0,0,0,0,\aITEM 37308075 1991067056:Lockson Family Treasure\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281491978,Dragonfly Plushie,,TREASURED,0,,alchemist|armorer|assassin|beastlord|berserker|brigand|bruiser|carpenter|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|jeweler|monk|mystic|necromancer|paladin|provisioner|ranger|sage|shadowknight|swashbuckler|tailor|templar|troubador|warden|warlock|weaponsmith|wizard|woodworker,0,0,0,0,\aITEM -1013475318 -1223039173:Dragonfly Plushie\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305609192,the orb of Tunare,,,0,,,0,0,0,0,\aITEM 1305609192 1070014112:the orb of Tunare\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816609950,a mephlin tail,,TREASURED,0,,,0,0,0,0,\aITEM -1478357346 1027785863:a mephlin tail\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868784903,badge of the Emperor's guard,,,55,,,0,0,0,0,\aITEM 1868784903 -250923119:badge of the Emperor's guard\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464381241,Blade of Mistmyr,,,0,,,0,0,0,0,\aITEM 464381241 -222926390:Blade of Mistmyr\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154037374,Box of Tinkering Materials,,,0,,,0,0,0,0,\aITEM -2140929922 211871971:Box of Tinkering Materials\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502364145,Old Telescopic Lens,,,0,,,0,0,0,0,\aITEM 502364145 975284312:Old Telescopic Lens\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474085554,a werewolf jaw,,TREASURED,0,,,0,0,0,0,\aITEM -1820881742 -1582765726:a werewolf jaw\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997275755,pristine werewolf fang,,TREASURED,55,,,0,0,0,0,\aITEM 1997275755 1579260820:pristine werewolf fang\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550819261,Ancient Koada'Dal Brooch,,,30,,,0,0,0,0,\aITEM 1550819261 -844924678:Ancient Koada'Dal Brooch\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480124313,pixie wing,,TREASURED,25,,,0,0,0,0,\aITEM -1814842983 2077871432:pixie wing\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805070598,highland stirge egg,,,0,,,0,0,0,0,\aITEM -1489896698 1509321326:highland stirge egg\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702676731,Advanced Armorer Volume 69,,,60,,armorer,0,0,0,0,\aITEM 702676731 -1150077877:Advanced Armorer Volume 69\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27442474,bloody kobold paw,,,55,,,0,0,0,0,\aITEM 27442474 575529884:bloody kobold paw\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390740796,White Ember Hound,,,0,,alchemist|armorer|carpenter|jeweler|provisioner|sage|tailor|weaponsmith|woodworker,0,0,0,0,\aITEM -1904226500 658179205:White Ember Hound\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445170101,Sableflame Nightmare,,,0,,alchemist|armorer|carpenter|jeweler|provisioner|sage|tailor|weaponsmith|woodworker,0,0,0,0,\aITEM 445170101 1662776908:Sableflame Nightmare\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355932023,Petamorph Wand: Ravenous Hellhound,,TREASURED,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,\aITEM 355932023 594773332:Petamorph Wand: Ravenous Hellhound\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490377877,chipped mining pick,,TREASURED,55,,,0,0,0,0,\aITEM -1804589419 1381801649:chipped mining pick\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812383524,orange poisonous mushroom,,,55,,,0,0,0,0,\aITEM 1812383524 -718508428:orange poisonous mushroom\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212065641,white candle,,TREASURED,55,,,0,0,0,0,\aITEM -2082901655 -1553892081:white candle\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114827059,spinblade,,,55,,,0,0,0,0,\aITEM -1180140237 -1224338376:spinblade\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2909454305,Advanced Armorer Volume 36,,UNCOMMON,30,,armorer,0,0,0,0,\aITEM -1385512991 1751426072:Advanced Armorer Volume 36\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937819048,mined opal,,,55,,,0,0,0,0,\aITEM 1937819048 -1984863067:mined opal\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344980997,Shrumbler Net,,,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,\aITEM 344980997 -2014426567:Shrumbler Net\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365508931,Ernie Gimblelock's Adventuring Journal,,,0,,alchemist|armorer|assassin|beastlord|berserker|brigand|bruiser|carpenter|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|jeweler|monk|mystic|necromancer|paladin|provisioner|ranger|sage|shadowknight|swashbuckler|tailor|templar|troubador|warden|warlock|weaponsmith|wizard|woodworker,0,0,0,0,\aITEM 365508931 -1491229969:Ernie Gimblelock's Adventuring Journal\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374502368,D'Vinn's blade,,,0,,,0,0,0,0,\aITEM 374502368 1444705883:D'Vinn's blade\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412798558,Kaladim Altar,,,0,,alchemist|armorer|assassin|beastlord|berserker|brigand|bruiser|carpenter|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|jeweler|monk|mystic|necromancer|paladin|provisioner|ranger|sage|shadowknight|swashbuckler|tailor|templar|troubador|warden|warlock|weaponsmith|wizard|woodworker,0,0,0,0,\aITEM 412798558 -616354640:Kaladim Altar\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440247836,Balarus Verimisilian's Blade,,,0,,,0,0,0,0,\aITEM 440247836 1061638586:Balarus Verimisilian's Blade\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357139895,Lense Manufactory,,,0,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,\aITEM 357139895 -259480969:Lense Manufactory\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105021265,Chipped Flame Ruby,,TREASURED,25,,,0,0,0,0,\aITEM 2105021265 -536851736:Chipped Flame Ruby\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438937569,Partially Chewed Ore,,,0,,,0,0,0,0,\aITEM 438937569 -1127789454:Partially Chewed Ore\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455377600,diseased kobold bone,,,55,,,0,0,0,0,\aITEM -1839589696 -61612594:diseased kobold bone\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291334981,Grey Warg with Brown Saddle,,TREASURED,0,,alchemist|armorer|assassin|beastlord|berserker|brigand|bruiser|carpenter|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|jeweler|monk|mystic|necromancer|paladin|provisioner|ranger|sage|shadowknight|swashbuckler|tailor|templar|troubador|warden|warlock|weaponsmith|wizard|woodworker,0,0,0,0,\aITEM 291334981 -93841126:Grey Warg with Brown Saddle\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374080051,Gray Mustang Pack Horse,,TREASURED,0,,alchemist|armorer|assassin|beastlord|berserker|brigand|bruiser|carpenter|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|jeweler|monk|mystic|necromancer|paladin|provisioner|ranger|sage|shadowknight|swashbuckler|tailor|templar|troubador|warden|warlock|weaponsmith|wizard|woodworker,0,0,0,0,\aITEM 374080051 295747692:Gray Mustang Pack Horse\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459793085,Copper Metal,,,0,,,0,0,0,0,\aITEM 1459793085 1472105674:Copper Metal\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4210957984,Training Mold,,,0,,,0,0,0,0,\aITEM -84009312 -1329605028:Training Mold\/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
