id,name,slot,tier,itemlevel,armor_type,classes,weapon_min_dmg,weapon_max_dmg,delay,damage_rating,gamelink,aeautoattackchance,agility,all,arcane,armormitigationincrease,attackspeed,basemodifier,blockchance,combatskills,critbonus,critchance,damage,doubleattackchance,dps,flurry,intelligence,maxhpperc,spelltimecastpct,spelltimereusepct,stamina,strength,wisdom
3220033704,Thug's Bandoleer,Ranged,TREASURED,10,,assassin|beastlord|brigand|dirge|ranger|swashbuckler|troubador,12,69,9,9,\aITEM -1074933592 -47881704:Thug's Bandoleer\/a,,,,,,,,,1,,,,,,,,,,,5,5,
3177250626,Gruedheim War Axe,Primary,TREASURED,20,,berserker|guardian|paladin|shadowknight,19,57,4,19.040001,\aITEM -1117716670 990128438:Gruedheim War Axe\/a,,,,,,,,,6,,,,,,,,,,,18,18,
1162035704,Jagged Blade of Vipers,Primary|Secondary,LEGENDARY,30,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,21,118,6,23.210669,\aITEM 1162035704 -1159493803:Jagged Blade of Vipers\/a,,,,,,,,,4,,,,,,,,,,,11,11,
2451922930,Shaman's Wand of Force,Ranged,TREASURED,50,,channeler|coercer|conjuror|defiler|fury|illusionist|inquisitor|mystic|necromancer|templar|warden|warlock|wizard,64,361,8,53.100006,\aITEM -1843044366 -1106726940:Shaman's Wand of Force\/a,,,,,,,1,,10,0.2,0.7,,2.2,,,,,,,26,26,
6963399,Runic Brawler Staff,Primary,TREASURED,10,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,10,56,7,9.45,\aITEM 6963399 -509430227:Runic Brawler Staff\/a,,,,,,,,,,,,,,,,,,,,8,8,
2157483083,Lucanic Longsword,Primary,LEGENDARY,67,,berserker|guardian|paladin|shadowknight,77,434,6,85.175995,\aITEM -2137484213 2109154815:Lucanic Longsword\/a,,,,,,4.8,3.4,,24,0.6,2.4,,,,,,,,,62,62,
2384342846,Pyrebringer's Buckler,Secondary,LEGENDARY,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,\aITEM -1910624450 280663435:Pyrebringer's Buckler\/a,,,,,,,,,,,,,,,,,,,,,,
1971764479,Bow of Marksmanship,Ranged,LEGENDARY,65,,assassin|beastlord|berserker|brigand|channeler|dirge|guardian|paladin|ranger|shadowknight|swashbuckler|troubador,100,565,9,73.893333,\aITEM 1971764479 1783455655 0 0 0:Bow of Marksmanship\/a,,,,,,,2.6,,15,0.5,1.8,,4.8,,,,,1.6,,39,39,
3333210176,Pyrebringer's Wand,Ranged,LEGENDARY,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,1,3,3,1.450667,\aITEM -961757120 55328136:Pyrebringer's Wand\/a,,,,,,,,,,,,,,,,,,,,,,
248421660,Golden Feather Axe,Primary|Secondary,LEGENDARY,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,1,3,3,1.450667,\aITEM 248421660 -968053823:Golden Feather Axe\/a,,,,,,,,,,,,,,,,,,,,,,
3793664026,Pyrebringer's Shield,Secondary,LEGENDARY,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,0,0,0,0,\aITEM -501303270 573681181:Pyrebringer's Shield\/a,,,,,,,,,,,,,,,,,,,,,,
452866573,Gladius of the Fae,Primary|Secondary,TREASURED,1,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,1,2,1.6,1.705,\aITEM 452866573 -463208552:Gladius of the Fae\/a,,,,,,,,,,,,,,,,,,,,2,2,
832429467,Blackguard's Parry Blade,Primary|Secondary,TREASURED,50,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,38,217,6,42.480003,\aITEM 832429467 93516093:Blackguard's Parry Blade\/a,,,,,,,1.7,,12,0.3,1.1,,,5.6,,,,,,31,31,
4264447724,Rusty Dagger,Primary|Secondary,TREASURED,1,,assassin|beastlord|brigand|dirge|ranger|swashbuckler|troubador,1,2,1.5,1.769655,\aITEM -30519572 1795135421:Rusty Dagger\/a,,,,,,,,,,,,,,,,,,,,2,,2
2427170628,Empowered Tower,Secondary,TREASURED,50,,berserker|guardian|paladin|shadowknight,0,0,0,0,\aITEM -1867796668 -1922001392:Empowered Tower\/a,,,,,,,1.7,1.2,12,0.3,1.1,,,,,,,,,31,31,
3565822549,Pick of the Duke,Primary|Secondary,MYTHICAL,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,2,5,4,1.792,\aITEM -729144747 -2015051600:Pick of the Duke\/a,,4,,,,,,,1,,,,,,,,,,,4,,
1813648467,Truncheon of the Plains,Primary|Secondary,TREASURED,59,,channeler|defiler|fury|inquisitor|mystic|templar|warden,31,177,4,52.200005,\aITEM 1813648467 875287335:Truncheon of the Plains\/a,,,,,,3.7,2.5,,14,0.5,1.7,,,,,,,,,38,38,
2632366453,Pyrebringer's Whip,Primary|Secondary,LEGENDARY,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,1,3,3,1.450667,\aITEM -1662600843 1493583037:Pyrebringer's Whip\/a,,,,,,,,,,,,,,,,,,,,,,
11280396,Greatmaul of Fury,Primary,FABLED,70,,beastlord|berserker|bruiser|channeler|coercer|conjuror|defiler|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|shadowknight|templar|warden|warlock|wizard,189,568,8,94.695999,\aITEM 11280396 -943327105:Greatmaul of Fury\/a,,,142,,,9.2,5.6,,32,1.2,4,,,,,,,,,82,82,
3026214156,Pyrebringer's Axe,Primary|Secondary,LEGENDARY,1,,assassin|beastlord|berserker|brigand|bruiser|channeler|coercer|conjuror|defiler|dirge|fury|guardian|illusionist|inquisitor|monk|mystic|necromancer|paladin|ranger|shadowknight|swashbuckler|templar|troubador|warden|warlock|wizard,1,3,3,1.450667,\aITEM -1268753140 -291099724:Pyrebringer's Axe\/a,,,,,,,,,,,,,,,,,,,,,,
769840313,Oiled Longbow of Accuracy,Ranged,FABLED,60,,assassin|beastlord|berserker|brigand|channeler|dirge|guardian|paladin|ranger|shadowknight|swashbuckler|troubador,101,574,9,74.986671,\aITEM 769840313 -1767580734:Oiled Longbow of Accuracy\/a,,,,,,3.5,2.4,,14,0.5,1.6,,,,,,,,,37,37,
816331281,Royal Crate of Sharp Spikes,Ranged,LEGENDARY,70,,assassin|beastlord|brigand|bruiser|dirge|monk|ranger|swashbuckler|troubador,109,617,9,80.693329,\aITEM 816331281 959641359:Royal Crate of Sharp Spikes\/a,,,,,2.8,,2.5,,14,0.5,1.7,,,,,,,,,38,38,
907860956,Shield of the Salubrious,Secondary,TREASURED,30,,berserker|channeler|defiler|fury|guardian|inquisitor|mystic|paladin|shadowknight|templar|warden,0,0,0,0,\aITEM 907860956 -974272466:Shield of the Salubrious\/a,,,,,,,,,4,,,,,,,,,,,10,10,
948181771,Nayad's Ornate Blade,Primary|Secondary,LEGENDARY,30,,assassin|beastlord|berserker|brigand|channeler|dirge|fury|guardian|paladin|ranger|shadowknight|swashbuckler|troubador|warden,21,118,6,23.210669,\aITEM 948181771 -830412264:Nayad's Ornate Blade\/a,,,,,,,,,4,,,,,,,,,,,11,11,
976348925,Metallic Lined Pouch of Gnomeland Security,Ranged,TREASURED,30,,assassin|beastlord|berserker|brigand|bruiser|dirge|guardian|monk|ranger|swashbuckler|troubador,39,220,9,28.800001,\aITEM 976348925 -1942061556:Metallic Lined Pouch of Gnomeland Security\/a,,,,,,,,,4,,,,,,,,,,,10,10,
